date,flow,NO3-con,PNWL(b),daily-flux,NO3con-mod,pnwlb-flux,actual-flux
10/4/2000,0.424752699,12.9948,18.87,16.84614069,12.9948,24.5,16.8
10/5/2000,0.368119006,14.1372,16.04,15.88350408,14.1372,18,15.9
10/6/2000,0.339802159,15.2082,14.46,15.77243063,15.2082,15,15.8
10/7/2000,0.311485313,15.4224,12.74,14.66169607,15.4224,12.1,14.7
10/8/2000,0.283168466,16.2792,10.85,14.06930431,16.2792,9.4,14.1
10/9/2000,0.566336932,17.7072,24.57,30.60690763,17.7072,42.5,30.6
10/10/2000,1.444159176,18.3498,43.09,80.87998756,18.3498,189.9,80.9
10/11/2000,0.764554858,19.1352,30.51,44.65152895,19.1352,71.2,44.7
10/12/2000,0.538020085,19.7064,23.55,32.35939992,19.7064,38.7,32.4
10/13/2000,0.538020085,20.2062,23.55,33.18010934,20.2062,38.7,33.2
10/14/2000,0.538020085,21.1344,23.55,34.70428397,21.1344,38.7,34.7
10/15/2000,0.509703239,21.777,22.48,33.87740381,21.777,35,33.9
10/16/2000,0.453069545,22.5624,20.15,31.19929939,22.5624,27.9,31.2
10/17/2000,0.453069545,23.2764,20.15,32.18661899,23.2764,27.9,32.2
10/18/2000,0.566336932,23.1336,24.57,39.98644384,23.1336,42.5,40
10/19/2000,0.651287472,22.134,27.33,43.99742972,22.134,54.3,44
10/20/2000,0.962772784,22.6338,35.07,66.50831662,22.6338,103,66.5
10/21/2000,1.642377102,21.9198,45.64,109.8763301,21.9198,228.8,109.9
10/22/2000,1.189307557,23.4906,39.25,85.26738904,23.4906,142.5,85.3
10/23/2000,0.821188551,23.1336,31.92,57.98034357,23.1336,80,58
10/24/2000,0.679604318,23.6334,28.18,49.02041819,23.6334,58.4,49
10/25/2000,0.594653778,22.3482,25.53,40.56032336,22.3482,46.3,40.6
10/26/2000,0.566336932,21.2058,24.57,36.65424019,21.2058,42.5,36.7
10/27/2000,0.566336932,24.2046,24.57,41.83766809,24.2046,42.5,41.8
10/28/2000,1.274258097,27.846,40.62,108.2966187,27.846,158,108.3
10/29/2000,1.359208636,30.9876,41.89,128.549012,30.9876,173.8,128.5
10/30/2000,1.132673864,33.558,38.29,116.0100531,33.558,132.4,116
10/31/2000,0.962772784,35.1288,35.07,103.2242643,35.1288,103,103.2
11/1/2000,0.906139091,35.7714,33.87,98.92942402,35.7714,93.7,98.9
11/2/2000,0.877822244,36.6282,33.24,98.13339759,36.6282,89.1,98.1
11/3/2000,0.877822244,37.842,33.24,101.3853815,37.842,89.1,101.4
11/4/2000,0.849505398,38.4846,32.59,99.78098717,38.4846,84.5,99.8
11/5/2000,0.821188551,38.4132,31.92,96.27600259,38.4132,80,96.3
11/6/2000,0.849505398,39.7698,32.59,103.1131908,39.7698,84.5,103.1
11/7/2000,0.821188551,40.1982,31.92,100.7497945,40.1982,80,100.7
11/8/2000,1.019406477,41.3406,36.2,128.623061,41.3406,112.6,128.6
11/9/2000,1.840595028,45.0534,47.89,253.093209,45.0534,269,253.1
11/10/2000,2.010496108,50.4084,49.64,309.3148895,50.4084,304.6,309.3
11/11/2000,1.472476023,51.6222,43.48,231.9954232,51.6222,195.4,232
11/12/2000,1.217624403,54.1212,39.72,201.1293442,54.1212,147.6,201.1
11/13/2000,1.07604017,56.9772,37.27,187.1217474,56.9772,122.4,187.1
11/14/2000,0.962772784,60.69,35.07,178.3346029,60.69,103,178.3
11/15/2000,0.877822244,56.9058,33.24,152.4606586,56.9058,89.1,152.5
11/16/2000,0.792871705,42.84,31.23,103.6685581,42.84,75.6,103.7
11/17/2000,0.764554858,45.1248,30.51,105.2976354,45.1248,71.2,105.3
11/18/2000,0.736238011,47.2668,29.76,106.2109061,47.2668,66.9,106.2
11/19/2000,0.707921165,49.6944,28.98,107.3710066,49.6944,62.6,107.4
11/20/2000,0.707921165,54.3354,28.98,117.3984713,54.3354,62.6,117.4
11/21/2000,0.679604318,57.9054,28.18,120.1074295,57.9054,58.4,120.1
11/22/2000,0.651287472,60.1188,27.33,119.5026962,60.1188,54.3,119.5
11/23/2000,0.962772784,63.3318,35.07,186.0974033,63.3318,103,186.1
11/24/2000,2.123763494,69.6864,50.73,451.6987174,69.6864,328.8,451.7
11/25/2000,1.529109716,76.1124,44.22,355.2129094,76.1124,206.4,355.2
11/26/2000,1.699010796,79.4682,46.31,412.0825185,79.4682,240.1,412.1
11/27/2000,3.029902585,80.325,57.76,742.803731,80.325,534.1,742.8
11/28/2000,2.831684659,85.5372,56.42,739.2555512,85.5372,487.6,739.3
11/29/2000,2.633466733,84.1092,54.98,676.0300723,84.1092,441.9,676
11/30/2000,2.944952046,83.7522,57.2,752.7818298,83.7522,514.1,752.8
12/1/2000,2.718417273,82.3956,55.61,683.6200917,82.3956,461.4,683.6
12/2/2000,2.4918825,82.3242,53.89,626.108725,82.3242,409.8,626.1
12/3/2000,2.208714034,81.9672,51.5,552.5534147,81.9672,347.2,552.6
12/4/2000,1.953862415,81.8244,49.08,487.9456883,81.8244,292.7,487.9
12/5/2000,1.755644489,81.396,46.96,436.1484337,81.396,251.6,436.1
12/6/2000,1.614060256,81.2532,45.29,400.2717077,81.2532,223.1,400.3
12/7/2000,1.500792869,80.3964,43.85,368.2578697,80.3964,200.9,368.3
12/8/2000,1.387525483,78.6828,42.3,333.2080238,78.6828,179.1,333.2
12/9/2000,1.359208636,74.1132,41.89,307.4513237,74.1132,173.8,307.5
12/10/2000,1.302574943,73.2564,41.05,291.2345993,73.2564,163.2,291.2
12/11/2000,1.359208636,71.8284,41.89,297.9730556,71.8284,173.8,298
12/12/2000,1.699010796,70.9002,46.31,367.6531364,70.9002,240.1,367.7
12/13/2000,2.067129801,72.6852,50.19,458.5729302,72.6852,316.7,458.6
12/14/2000,4.927131307,85.2516,67.38,1282.009819,85.2516,1013.3,1282
12/15/2000,10.87366909,103.8156,83.05,3445.35048,103.8156,2756.1,3445.4
12/16/2000,10.16574793,111.384,81.71,3455.865433,111.384,2535.3,3455.9
12/17/2000,10.90198594,121.4514,83.1,4041.129981,121.4514,2764.9,4041.1
12/18/2000,9.202975142,128.0916,79.74,3597.854333,128.0916,2239.9,3597.9
12/19/2000,7.220795881,126.5208,74.94,2788.313968,126.5208,1651.6,2788.3
12/20/2000,5.606735625,119.8092,69.94,2050.193834,119.8092,1196.8,2050.2
12/21/2000,4.983765,119.3094,67.61,1814.792159,119.3094,1028.3,1814.8
12/22/2000,19.36872307,111.6696,94.47,6601.317584,111.6696,5584.6,6601.3
12/23/2000,22.59684358,111.2412,97.52,7671.991642,111.2412,6725.8,7672
12/24/2000,16.79189003,111.1698,91.65,5697.457343,111.1698,4696.8,5697.5
12/25/2000,13.02574943,109.0992,86.62,4337.295007,109.0992,3443.6,4337.3
12/26/2000,10.27901531,104.7438,81.93,3286.052633,104.7438,2570.4,3286.1
12/27/2000,8.155251818,106.386,77.35,2647.99117,106.386,1925.3,2648
12/28/2000,6.682775796,106.1718,73.41,2165.512764,106.1718,1497.3,2165.5
12/29/2000,5.635052472,105.672,70.04,1817.408555,105.672,1204.5,1817.4
12/30/2000,4.89881446,103.1016,67.27,1541.526776,103.1016,1005.7,1541.5
12/31/2000,4.389111222,104.8866,65.09,1405.048353,104.8866,872,1405
1/1/2001,3.936041676,107.3856,62.94,1290.031791,107.3856,756.1,1290
1/2/2001,3.539605824,101.9592,60.83,1101.47843,101.9592,657.2,1101.5
1/3/2001,3.284754205,98.8176,59.36,990.6764876,98.8176,595.1,990.7
1/4/2001,3.114853125,93.4626,58.31,888.5259334,93.4626,554.3,888.5
1/5/2001,3.143169972,83.3238,58.48,799.3401197,83.3238,561,799.3
1/6/2001,2.888318352,77.3976,56.81,682.2872103,77.3976,500.8,682.3
1/7/2001,2.690100426,77.1834,55.4,633.7049151,77.1834,454.9,633.7
1/8/2001,2.690100426,76.398,55.4,627.256484,76.398,454.9,627.3
1/9/2001,2.605149886,79.4682,54.77,631.8598616,79.4682,435.5,631.9
1/10/2001,2.775050966,80.8962,56.02,685.1627786,80.8962,474.5,685.2
1/11/2001,2.57683304,85.8942,54.55,675.5302417,85.8942,429,675.5
1/12/2001,2.435248807,86.037,53.43,639.4745641,86.037,397.2,639.5
1/13/2001,3.058219432,89.7498,57.94,837.7159984,89.7498,540.8,837.7
1/14/2001,8.353469745,102.5304,77.83,2614.052059,102.5304,1984.2,2614.1
1/15/2001,8.523370824,104.1726,78.23,2709.939304,104.1726,2035,2709.9
1/16/2001,6.994261108,102.459,74.31,2187.1906,102.459,1586.4,2187.2
1/17/2001,5.804953551,97.3182,70.62,1724.199414,97.3182,1251.3,1724.2
1/18/2001,5.040398693,93.3912,67.83,1436.698117,93.3912,1043.5,1436.7
1/19/2001,4.587329148,82.6098,65.97,1156.607888,82.6098,923.6,1156.6
1/20/2001,4.162576449,83.0382,64.04,1054.957164,83.0382,813.6,1055
1/21/2001,4.219210142,77.6118,64.31,999.4327783,77.6118,828.1,999.4
1/22/2001,4.077625909,76.9692,63.64,957.8974769,76.9692,792,957.9
1/23/2001,3.851091137,78.7542,62.5,925.6614919,78.7542,734.7,925.7
1/24/2001,3.794457443,77.469,62.21,897.1649799,77.469,720.5,897.2
1/25/2001,3.65287321,77.7546,61.46,866.8727804,77.7546,685.2,866.9
1/26/2001,3.511288977,76.6122,60.68,821.0302972,76.6122,650.2,821
1/27/2001,3.454655284,77.469,60.35,816.8218474,77.469,636.4,816.8
1/28/2001,3.369704744,77.3976,59.86,796.0017453,77.3976,615.6,796
1/29/2001,3.766140597,81.3246,62.06,934.7880275,81.3246,713.4,934.8
1/30/2001,3.936041676,89.1072,62.94,1070.451911,89.1072,756.1,1070.5
1/31/2001,3.82277429,90.678,62.36,1057.97466,90.678,727.6,1058
2/1/2001,3.851091137,89.607,62.5,1053.223184,89.607,734.7,1053.2
2/2/2001,4.247526989,91.035,64.44,1180.155461,91.035,835.4,1180.2
2/3/2001,4.105942756,87.465,63.77,1096.079026,87.465,799.2,1096.1
2/4/2001,4.757230227,84.7518,66.69,1230.545785,84.7518,968.2,1230.5
2/5/2001,6.371290483,88.893,72.47,1728.580645,88.893,1409.2,1728.6
2/6/2001,6.682775796,85.9656,73.41,1753.380879,85.9656,1497.3,1753.4
2/7/2001,6.14475571,85.1088,71.75,1596.150233,85.1088,1345.6,1596.2
2/8/2001,5.550101932,91.749,69.74,1554.164467,91.749,1181.3,1554.2
2/9/2001,5.295250313,86.1084,68.81,1391.639319,86.1084,1112,1391.6
2/10/2001,4.89881446,78.897,67.27,1179.630947,78.897,1005.7,1179.6
2/11/2001,4.89881446,80.2536,67.27,1199.914194,80.2536,1005.7,1199.9
2/12/2001,4.502378608,81.753,65.6,1123.415437,81.753,901.4,1123.4
2/13/2001,4.275843835,81.753,64.57,1066.89139,81.753,842.7,1066.9
2/14/2001,4.049309063,79.1826,63.5,978.6003347,79.1826,784.7,978.6
2/15/2001,3.879407983,81.6816,62.65,967.1289151,81.6816,741.8,967.1
2/16/2001,3.90772483,79.968,62.79,953.7507345,79.968,748.9,953.8
2/17/2001,3.596239517,83.895,61.15,920.8297966,83.895,671.2,920.8
2/18/2001,4.020992216,83.7522,63.36,1027.836729,83.7522,777.6,1027.8
2/19/2001,3.794457443,84.252,62.21,975.7185957,84.252,720.5,975.7
2/20/2001,3.596239517,82.6812,61.15,907.5071527,82.6812,671.2,907.5
2/21/2001,4.077625909,80.682,63.64,1004.104034,80.682,792,1004.1
2/22/2001,4.105942756,83.0382,63.77,1040.604006,83.0382,799.2,1040.6
2/23/2001,4.049309063,84.1092,63.5,1039.4871,84.1092,784.7,1039.5
2/24/2001,3.90772483,84.1092,62.79,1003.141398,84.1092,748.9,1003.1
2/25/2001,3.73782375,83.0382,61.91,947.3084741,83.0382,706.3,947.3
2/26/2001,3.482972131,83.0382,60.52,882.71926,83.0382,643.3,882.7
2/27/2001,3.398021591,81.9672,60.03,850.0821764,81.9672,622.5,850.1
2/28/2001,3.199803665,86.6082,58.84,845.8181899,86.6082,574.6,845.8
3/1/2001,3.199803665,90.5352,58.84,884.1693857,90.5352,574.6,884.2
3/2/2001,3.539605824,91.3206,60.83,986.5482575,91.3206,657.2,986.5
3/3/2001,3.171486818,95.676,58.66,926.1057857,95.676,567.8,926.1
3/4/2001,3.058219432,94.1052,57.94,878.368883,94.1052,540.8,878.4
3/5/2001,3.001585739,88.179,57.57,807.812556,88.179,527.4,807.8
3/6/2001,2.831684659,82.3242,56.42,711.4871874,82.3242,487.6,711.5
3/7/2001,2.746734119,80.1108,55.82,671.5871341,80.1108,467.9,671.6
3/8/2001,2.803367813,78.6828,56.22,673.2162114,78.6828,481,673.2
3/9/2001,3.086536279,77.5404,58.12,730.4560653,77.5404,547.5,730.5
3/10/2001,2.888318352,79.7538,56.81,703.0579464,79.7538,500.8,703.1
3/11/2001,2.803367813,77.6118,56.22,664.0526514,77.6118,481,664.1
3/12/2001,2.718417273,76.8264,55.61,637.4135344,76.8264,461.4,637.4
3/13/2001,2.605149886,75.8982,54.77,603.4744231,75.8982,435.5,603.5
3/14/2001,2.775050966,75.1842,56.02,636.7841181,75.1842,474.5,636.8
3/15/2001,2.66178358,74.7558,55.19,607.3126281,74.7558,448.4,607.3
3/16/2001,2.66178358,73.6848,55.19,598.6118741,73.6848,448.4,598.6
3/17/2001,3.369704744,74.1846,59.86,762.9573924,74.1846,615.6,763
3/18/2001,4.559012301,73.3278,65.84,1020.314588,73.3278,916.2,1020.3
3/19/2001,9.174658296,76.1124,79.68,2131.277457,76.1124,2231.3,2131.3
3/20/2001,9.542777302,86.4654,80.46,2518.325252,86.4654,2343.5,2518.3
3/21/2001,7.64554858,82.5384,76.08,1926.013712,82.5384,1775.2,1926
3/22/2001,6.286339943,79.7538,72.2,1530.184942,79.7538,1385.3,1530.2
3/23/2001,5.380200852,77.5404,69.12,1273.27204,77.5404,1135,1273.3
3/24/2001,4.757230227,75.5412,66.69,1096.813345,75.5412,968.2,1096.8
3/25/2001,5.097032387,70.6146,68.05,1098.516471,70.6146,1058.6,1098.5
3/26/2001,5.040398693,70.7574,67.83,1088.507519,70.7574,1043.5,1088.5
3/27/2001,5.918220938,67.3302,71.01,1216.174114,67.3302,1282.6,1216.2
3/28/2001,13.59208636,69.0438,87.46,2864.214162,69.0438,3628.3,2864.2
3/29/2001,12.43109565,73.542,85.69,2790.2269,73.542,3251.3,2790.2
3/30/2001,10.10911423,74.8272,81.6,2308.698789,74.8272,2517.8,2308.7
3/31/2001,8.693271904,77.112,78.62,2045.973043,77.112,2085.9,2046
4/1/2001,7.702182273,83.538,76.22,1963.778686,83.538,1791.8,1963.8
4/2/2001,7.164162188,89.964,74.79,1967.11089,89.964,1635.3,1967.1
4/3/2001,6.824360029,96.1758,73.83,2003.191251,96.1758,1537.7,2003.2
4/4/2001,6.512874716,103.53,72.9,2057.944293,103.53,1449.1,2057.9
4/5/2001,6.116438864,111.384,71.66,2079.29508,111.384,1337.7,2079.3
4/6/2001,6.937627415,110.5272,74.15,2340.317699,110.5272,1570.1,2340.3
4/7/2001,7.4756475,106.9572,75.63,2440.357858,106.9572,1725.6,2440.4
4/8/2001,7.702182273,107.457,76.22,2526.057199,107.457,1791.8,2526.1
4/9/2001,7.164162188,105.315,74.79,2302.768701,105.315,1635.3,2302.8
4/10/2001,7.107528495,106.2432,74.63,2304.700145,106.2432,1619,2304.7
4/11/2001,9.96753,111.6696,81.32,3397.169283,111.6696,2474,3397.2
4/12/2001,10.16574793,110.0988,81.71,3415.990063,110.0988,2535.3,3416
4/13/2001,9.174658296,108.3852,79.68,3034.971087,108.3852,2231.3,3035
4/14/2001,8.013667586,104.1726,77.01,2547.883133,104.1726,1883.4,2547.9
4/15/2001,7.192479034,99.3888,74.87,2181.778854,99.3888,1643.5,2181.8
4/16/2001,6.48455787,97.104,72.82,1921.817603,97.104,1441.1,1921.8
4/17/2001,5.889904091,92.82,70.91,1668.570126,92.82,1274.8,1668.6
4/18/2001,5.266933466,87.8934,68.7,1412.891373,87.8934,1104.4,1412.9
4/19/2001,4.813863921,47.6952,66.92,700.7500868,47.6952,983.2,700.8
4/20/2001,4.530695455,59.7618,65.72,826.386506,59.7618,908.8,826.4
4/21/2001,4.134259602,69.4008,63.91,875.7031201,69.4008,806.4,875.7
4/22/2001,3.794457443,65.4024,62.21,757.4222319,65.4024,720.5,757.4
4/23/2001,3.596239517,65.9022,61.15,723.3411934,65.9022,671.2,723.3
4/24/2001,3.398021591,60.1902,60.03,624.2328177,60.1902,622.5,624.2
4/25/2001,3.171486818,60.4044,58.66,584.6906677,60.4044,567.8,584.7
4/26/2001,3.029902585,61.1184,57.76,565.1911056,61.1184,534.1,565.2
4/27/2001,2.916635199,63.9744,57,569.4859458,63.9744,507.4,569.5
4/28/2001,2.944952046,69.258,57.2,622.5050084,69.258,514.1,622.5
4/29/2001,2.860001506,73.0422,56.62,637.5801446,73.0422,494.2,637.6
4/30/2001,4.020992216,74.3274,63.36,912.1722378,74.3274,777.6,912.2
5/1/2001,5.295250313,76.8978,68.81,1242.782377,76.8978,1112,1242.8
5/2/2001,4.559012301,75.1842,65.84,1046.145337,75.1842,916.2,1046.1
5/3/2001,4.190893296,,64.18,,64.18,820.9,820.9
5/4/2001,3.82277429,,62.36,,62.36,727.6,727.6
5/5/2001,3.539605824,,60.83,,60.83,657.2,657.2
5/6/2001,3.228120511,,59.01,,59.01,581.4,581.4
5/7/2001,3.029902585,,57.76,,57.76,534.1,534.1
5/8/2001,2.831684659,,56.42,,56.42,487.6,487.6
5/9/2001,2.66178358,,55.19,,55.19,448.4,448.4
5/10/2001,2.463565654,,53.66,,53.66,403.5,403.5
5/11/2001,2.350298267,,52.73,,52.73,378.3,378.3
5/12/2001,2.237030881,,51.75,,51.75,353.4,353.4
5/13/2001,2.152080341,,50.99,,50.99,334.9,334.9
5/14/2001,2.66178358,,55.19,,55.19,448.4,448.4
5/15/2001,4.559012301,,65.84,,65.84,916.2,916.2
5/16/2001,4.757230227,,66.69,,66.69,968.2,968.2
5/17/2001,4.389111222,,65.09,,65.09,872,872
5/18/2001,3.879407983,,62.65,,62.65,741.8,741.8
5/19/2001,3.426338438,,60.19,,60.19,629.4,629.4
5/20/2001,3.114853125,,58.31,,58.31,554.3,554.3
5/21/2001,2.888318352,,56.81,,56.81,500.8,500.8
5/22/2001,2.633466733,,54.98,,54.98,441.9,441.9
5/23/2001,2.40693196,,53.2,,53.2,390.8,390.8
5/24/2001,2.237030881,,51.75,,51.75,353.4,353.4
5/25/2001,2.123763494,,50.73,,50.73,328.8,328.8
5/26/2001,2.010496108,,49.64,,49.64,304.6,304.6
5/27/2001,1.925545568,,48.79,,48.79,286.7,286.7
5/28/2001,1.925545568,,48.79,,48.79,286.7,286.7
5/29/2001,1.925545568,,48.79,,48.79,286.7,286.7
5/30/2001,1.699010796,,46.31,,46.31,240.1,240.1
5/31/2001,1.585743409,,44.94,,44.94,217.5,217.5
6/1/2001,1.500792869,,43.85,,43.85,200.9,200.9
6/2/2001,1.614060256,,45.29,,45.29,223.1,223.1
6/3/2001,1.925545568,,48.79,,48.79,286.7,286.7
6/4/2001,1.670693949,,45.98,,45.98,234.4,234.4
6/5/2001,1.585743409,,44.94,,44.94,217.5,217.5
6/6/2001,1.585743409,,44.94,,44.94,217.5,217.5
6/7/2001,1.387525483,,42.3,,42.3,179.1,179.1
6/8/2001,1.302574943,52.9074,41.05,210.3360995,52.9074,163.2,210.3
6/9/2001,1.302574943,47.838,41.05,190.1824381,47.838,163.2,190.2
6/10/2001,1.24594125,39.9126,40.17,151.7757057,39.9126,152.8,151.8
6/11/2001,1.387525483,39.5556,42.3,167.5111118,39.5556,179.1,167.5
6/12/2001,2.095446648,47.1954,50.46,301.8359435,47.1954,322.7,301.8
6/13/2001,1.500792869,47.0526,43.85,215.5256981,47.0526,200.9,215.5
6/14/2001,1.33089179,42.126,41.48,171.1148283,42.126,168.5,171.1
6/15/2001,1.24594125,42.7686,40.17,162.6362213,42.7686,152.8,162.6
6/16/2001,1.189307557,39.9126,39.25,144.8768099,39.9126,142.5,144.9
6/17/2001,1.132673864,41.9118,38.29,144.8891514,41.9118,132.4,144.9
6/18/2001,1.07604017,44.7678,37.27,147.0242301,44.7678,122.4,147
6/19/2001,1.047723324,41.9118,36.74,134.0224651,41.9118,117.5,134
6/20/2001,1.019406477,41.1978,36.2,128.1787672,41.1978,112.6,128.2
6/21/2001,0.962772784,41.1264,35.07,120.8479192,41.1264,103,120.8
6/22/2001,0.962772784,55.692,35.07,163.6482239,55.692,103,163.6
6/23/2001,0.962772784,53.3358,35.07,156.7246452,53.3358,103,156.7
6/24/2001,0.991089631,54.9066,35.64,166.0856691,54.9066,107.8,166.1
6/25/2001,1.07604017,51.1224,37.27,167.8936981,51.1224,122.4,167.9
6/26/2001,1.019406477,44.1966,36.2,137.5089374,44.1966,112.6,137.5
6/27/2001,1.472476023,37.485,43.48,168.4614069,37.485,195.4,168.5
6/28/2001,1.444159176,37.485,43.09,165.2217645,37.485,189.9,165.2
6/29/2001,1.104357017,36.8424,37.78,124.1801228,36.8424,127.4,124.2
6/30/2001,0.991089631,33.201,35.64,100.4289157,33.201,107.8,100.4
7/1/2001,0.934455938,31.5588,34.48,90.00652312,31.5588,98.3,90
7/2/2001,0.877822244,30.2022,33.24,80.91701205,30.2022,89.1,80.9
7/3/2001,0.849505398,26.8464,32.59,69.60603187,26.8464,84.5,69.6
7/4/2001,0.821188551,26.6322,31.92,66.74897577,26.6322,80,66.7
7/5/2001,0.792871705,34.986,31.23,84.66265578,34.986,75.6,84.7
7/6/2001,0.736238011,34.629,29.76,77.81312605,34.629,66.9,77.8
7/7/2001,0.707921165,26.9892,28.98,58.31356393,26.9892,62.6,58.3
7/8/2001,0.707921165,28.56,28.98,61.70747506,28.56,62.6,61.7
7/9/2001,0.651287472,31.416,27.33,62.44796476,31.416,54.3,62.4
7/10/2001,0.651287472,32.9868,27.33,65.570363,32.9868,54.3,65.6
7/11/2001,0.651287472,34.4862,27.33,68.55083404,34.4862,54.3,68.6
7/12/2001,0.622970625,29.988,26.45,57.01770696,29.988,50.3,57
7/13/2001,0.594653778,32.2014,25.53,58.44314963,32.2014,46.3,58.4
7/14/2001,0.538020085,30.2022,23.55,49.59429771,30.2022,38.7,49.6
7/15/2001,0.538020085,26.9892,23.55,44.31830859,26.9892,38.7,44.3
7/16/2001,0.538020085,28.7028,23.55,47.13216945,28.7028,38.7,47.1
7/17/2001,0.566336932,26.6322,24.57,46.0337764,26.6322,42.5,46
7/18/2001,0.538020085,23.562,23.55,38.69058686,23.562,38.7,38.7
7/19/2001,0.538020085,33.4866,23.55,54.98753103,33.4866,38.7,55
7/20/2001,0.509703239,32.0586,22.48,49.87198134,32.0586,35,49.9
7/21/2001,0.481386392,39.27,21.35,57.69648918,39.27,31.4,57.7
7/22/2001,0.453069545,40.9122,20.15,56.57341314,40.9122,27.9,56.6
7/23/2001,0.453069545,43.554,20.15,60.22649566,43.554,27.9,60.2
7/24/2001,0.424752699,36.771,18.87,47.66902448,36.771,24.5,47.7
7/25/2001,0.424752699,31.8444,18.87,41.28230082,31.8444,24.5,41.3
7/26/2001,0.424752699,25.704,18.87,33.32203653,25.704,24.5,33.3
7/27/2001,0.396435852,27.3462,17.51,33.08754813,27.3462,21.2,33.1
7/28/2001,0.396435852,18.2784,17.51,22.11595906,18.2784,21.2,22.1
7/29/2001,0.424752699,12.9948,18.87,16.84614069,12.9948,24.5,16.8
7/30/2001,0.509703239,13.4946,22.48,20.99288302,13.4946,35,21
7/31/2001,0.481386392,81.3246,21.35,119.484184,81.3246,31.4,119.5
8/1/2001,0.396435852,18.564,17.51,22.46152092,18.564,21.2,22.5
8/2/2001,0.396435852,11.7096,17.51,14.16803627,11.7096,21.2,14.2
8/3/2001,0.396435852,8.211,17.51,9.934903485,8.211,21.2,9.9
8/4/2001,0.396435852,13.4232,17.51,16.24140744,13.4232,21.2,16.2
8/5/2001,0.368119006,15.351,16.04,17.24723928,15.351,18,17.2
8/6/2001,0.368119006,14.28,16.04,16.04394352,14.28,18,16
8/7/2001,0.339802159,16.9218,14.46,17.54960591,16.9218,15,17.5
8/8/2001,0.339802159,19.4922,14.46,20.21536883,19.4922,15,20.2
8/9/2001,0.311485313,16.2792,12.74,15.47623475,16.2792,12.1,15.5
8/10/2001,0.311485313,9.4962,12.74,9.027803601,9.4962,12.1,9
8/11/2001,0.311485313,10.9242,12.74,10.38536805,10.9242,12.1,10.4
8/12/2001,0.311485313,14.28,12.74,13.57564451,14.28,12.1,13.6
8/13/2001,0.311485313,14.1372,12.74,13.43988807,14.1372,12.1,13.4
8/14/2001,0.283168466,12.5664,10.85,10.86051561,12.5664,9.4,10.9
8/15/2001,0.274673412,8.6394,10.25,7.242606348,8.6394,8.6,7.2
8/16/2001,0.277505097,9.8532,10.45,8.345318927,9.8532,8.9,8.3
8/17/2001,0.283168466,13.2804,10.85,11.47759036,13.2804,9.4,11.5
8/18/2001,0.283168466,14.5656,10.85,12.58832491,14.5656,9.4,12.6
8/19/2001,0.266178358,27.2748,9.63,22.15792014,27.2748,7.8,22.2
8/20/2001,0.266178358,50.694,9.63,41.18356886,50.694,7.8,41.2
8/21/2001,0.266178358,232.9782,9.63,189.2704017,232.9782,7.8,189.3
8/22/2001,0.424752699,38.7702,18.87,50.26073844,38.7702,24.5,50.3
8/23/2001,0.792871705,53.907,31.23,130.4496023,53.907,75.6,130.4
8/24/2001,0.594653778,31.416,25.53,57.01770696,31.416,46.3,57
8/25/2001,0.453069545,41.6262,20.15,57.56073274,41.6262,27.9,57.6
8/26/2001,0.396435852,35.7714,17.51,43.28162301,35.7714,21.2,43.3
8/27/2001,0.396435852,26.9178,17.51,32.56920534,26.9178,21.2,32.6
